disposition,ra,dec,st_pmra,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim
3,87.139821,-63.988329,-15.641,0.0,26.046,0.037,-0.037,0.0,2460187.916571,0.000126,-0.000126,0,4.4119378,8e-07,-8e-07,0,3.65,0.011,-0.011,0,15062.0,69.1814,-69.1814,0,15.4706,0.691963,-0.691963,0,653.252,1408.0,9.7109,0.006,-0.006,0,175.631,0.588,-0.588,0,6280.0,209.6249018177751,-209.6249018177751,0,4.32092,0.1800801672260612,-0.1800801672260612,0,1.21,0.05,-0.05,0
2,128.381976,-43.828421,-5.814,0.0,4.328,0.047,-0.047,0.0,2458521.29108,0.00241,-0.00241,0,3.28892,0.00066,-0.00066,0,3.793,0.202,-0.202,0,10518.9,530.608,-530.608,0,10.37830827575075,1.481857536021982,-1.481857536021982,0,29832.6,3661.0,10.7173,0.013,-0.013,0,906.827,23.8635,-23.8635,0,8734.2,283.6,-283.6,0,4.1,1.45,-1.45,0,1.4046020899399398,0.07458443695733533,-0.07458443695733533,0
2,119.30075,-42.999149,-3.211,0.0,-15.082,0.051,-0.051,0.0,2458492.90429,0.00426,-0.00426,0,1.90879,0.00035,-0.00035,0,1.909,0.231,-0.231,0,618.482,1.43774,-1.43774,0,3.34688,0.217749,-0.217749,0,985.807,1561.0,10.5551,0.006,-0.006,0,235.974,1.579,-1.579,0,6022.6,133.5,-133.5,0,4.52,0.39,-0.39,0,1.22,0.05,-0.05,0
2,120.837688,-51.345626,-23.366,0.0,22.652,0.04,-0.04,0.0,2459303.303969,0.003015,-0.003015,0,1.3214483,2.31e-05,-2.31e-05,0,3.435,0.071,-0.071,0,2180.0,137.946,-137.946,0,21.8839,4.01475,-4.01475,0,35623.2,3827.0,9.697,0.006,-0.006,0,316.398,2.247,-2.247,0,5050.8,86.8,-86.8,0,3.56,0.4,-0.4,0,2.99,0.15,-0.15,0
2,86.820714,-72.422611,1.128,0.0,11.563,0.047,-0.047,0.0,2458339.72276,0.00592,-0.00592,0,18.0157,0.00015,-0.00015,0,2.524,0.403,-0.403,0,610.0,1.66317,-1.66317,0,21.644,1.481857536021982,-1.481857536021982,0,7.64364,463.0,10.0814,0.006,-0.006,0,692.266,12.113,-12.113,0,4709.0,122.0,-122.0,0,4.305148136020152,0.1800801672260612,-0.1800801672260612,0,7.61,0.07458443695733533,-0.07458443695733533,0
1,142.521159,-51.517114,-19.153,0.0,11.046,0.178,-0.178,0.0,2458545.149804,9.2e-05,-9.2e-05,0,9.6837921,9e-07,-9e-07,0,2.4006056,0.0086986,-0.0086986,0,4238.2399008,15.838111,-15.838111,0,10.37830827575075,1.481857536021982,-1.481857536021982,0,3176.3106916,1914.698926,5.5324,0.006,-0.006,0,129.838,1.713,-1.713,0,8598.7,1245.7,-1245.7,0,4.305148136020152,0.1800801672260612,-0.1800801672260612,0,1.4046020899399398,0.07458443695733533,-0.07458443695733533,0
2,125.434634,-51.759442,47.228,0.0,-6.325,0.039,-0.039,0.0,2459237.459734,0.006504,-0.006504,0,14.2694372,0.0092187,-0.0092187,0,6.9350494,0.466316,-0.466316,0,1246.3921871,94.588425,-94.588425,0,3.7255381,0.2679282,-0.2679282,0,51.2588496,682.4360542,9.9138,0.006,-0.006,0,105.677,0.2575,-0.2575,0,5690.0,129.0,-129.0,0,4.58,0.08,-0.08,0,0.853898,0.0413895,-0.0413895,0
1,167.133275,-29.653135,-87.554,0.0,12.992,0.057,-0.057,0.0,2460037.86905,0.001406,-0.001406,0,3.2834565,4.6e-06,-4.6e-06,0,1.537,0.709,-0.709,0,1558.0,185.42,-185.42,0,2.87648,0.314177,-0.314177,0,161.092,992.0,10.2103,0.006,-0.006,0,56.3449,0.13245,-0.13245,0,4272.0,122.7,-122.7,0,4.6,0.11,-0.11,0,0.68,0.06,-0.06,0
1,167.133275,-29.653135,-87.554,0.0,12.992,0.057,-0.057,0.0,2460032.53325,0.002913,-0.002913,0,11.02875,3.54e-05,-3.54e-05,0,2.715,0.404,-0.404,0,1694.0,104.432,-104.432,0,2.76586,0.268927,-0.268927,0,15.0463,548.0,10.2103,0.006,-0.006,0,56.3449,0.13245,-0.13245,0,4272.0,122.7,-122.7,0,4.6,0.11,-0.11,0,0.68,0.06,-0.06,0
1,167.133275,-29.653135,-87.554,0.0,12.992,0.057,-0.057,0.0,2460032.57304,0.002567,-0.002567,0,5.0113292,1.2e-05,-1.2e-05,0,1.024,0.471,-0.471,0,1210.0,182.035,-182.035,0,2.52314,0.302798,-0.302798,0,17.1793,567.0,10.2103,0.006,-0.006,0,56.3449,0.13245,-0.13245,0,4272.0,122.7,-122.7,0,4.6,0.11,-0.11,0,0.68,0.06,-0.06,0
